Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
Progaday3_961578de	Prepod	Не волнуйтесь, он не будет сложным, если вы, конечно, учились на моих занятиях, а не валяли дурака.	game/script.rpy	569	Prepod "[what]"
Progaday3_de95cb26		Ставьте тест сюда	game/script.rpy	573	"[what]"
Producti24_ceb3be49	gg	Столько всего. Так, чего бы мне взять?	game/script.rpy	608	gg "[what]"
RichBitch_14acb684	gg	Ладно возмём что-нибуть повкуснее. Может фильмец посмотрю	game/script.rpy	620	gg "[what]"
ManyMany_c5bec68b	gg	Ладно возмём еды на недельку	game/script.rpy	629	gg "[what]"
SadBoi_b6a824a1	gg	Эхххх, до стипы ещё далеко. Пойду фотосинтезировать	game/script.rpy	637	gg "[what]"
Contin_9f5b1dbb	gg	Ладно, несмотря на всё, пора домой	game/script.rpy	642	gg "[what]"
tests1_a6fb3229	Prepod	Уважаемые студенты, сегодня мы пройдем с вами **ТЕМА**, просьба не отвлекаться, так как тема очень важна для последующих занятий.	game/script_day5.rpy	13	Prepod "[what]"
tests1_272227af		place test here!!!!!	game/script_day5.rpy	15	"[what]"
down_2d4adaac		Вы подскальзываете на льду	game/script_day5.rpy	30	"[what]"
down_8e87c065	gg	АЙЙЙЙЙЙ, блин, это было больно	game/script_day5.rpy	32	gg "[what]"
down_346c904a		Вы встали отряхнулись, и побежали дальше на мероприятие	game/script_day5.rpy	34	"[what]"
godpnigstyle_320608fe	gg	Фухх... Я пришел вовремя, еще есть 9 минут до встречи. Чем бы заняться?	game/script_day5.rpy	48	gg "[what]"
godpnigstyle_ab708739		Вы видите, как к вам подходят три человека	game/script_day5.rpy	53	"[what]"
godpnigstyle_cb93a388	gg	Хмм.. Извините, вам что-то нужно?	game/script_day5.rpy	55	gg "[what]"
godpnigstyle_1d7e6a92	noname	Слышь, ты че тут забыл?	game/script_day5.rpy	59	noname "[what]"
godpnigstyle_56792156	gg	Извините...	game/script_day5.rpy	61	gg "[what]"
godpnigstyle_14dabb0d	noname	Это наша точка и мы ее крышуем! Свалил по хорошему	game/script_day5.rpy	63	noname "[what]"
godpnigstyle_ab616ecb	gg	Я не понимаю, я же ничего не сделал	game/script_day5.rpy	65	gg "[what]"
godpnigstyle_23d035ee	boss	Я че-то не понял, ты че, тупой?	game/script_day5.rpy	67	boss "[what]"
godpnigstyle_ed641efc	noname	Так, все, ты взбесил, телефон отдавай!	game/script_day5.rpy	69	noname "[what]"
godpnigstyle_11f2b8e8	gg	* Что же делать? *	game/script_day5.rpy	74	gg "[what]" nointeract
run_9022c8d3	noname	Эээ, куда?! А ну стой!	game/script_day5.rpy	89	noname "[what]"
run_0d7909c8	gg	Ааа, ну за что мне это все, что я сделал?	game/script_day5.rpy	93	gg "[what]"
run_b1b1e53d		Вы начинаете отрываться от преследователей и скрываетесь за поворотом	game/script_day5.rpy	98	"[what]"
run_36bf0643	gg	Куда бежать?	game/script_day5.rpy	100	gg "[what]"
run_e72ebca2		Вы решаете бежать поближе к густонаселенному району, там то точно преследователи вас не тронут	game/script_day5.rpy	102	"[what]"
run_0376afa6	gg	Ну почему я не ношу с собой перцовку?	game/script_day5.rpy	107	gg "[what]"
sissy_1d66b3ba	gg	Да, конечно, берите, только не трогайте!	game/script_day5.rpy	119	gg "[what]"
sissy_cd8f8d69	noname	Так бы сразу, кошелек выворачивай! Давай, поторапливайся!	game/script_day5.rpy	121	noname "[what]"
sissy_6948a855		Вы отдаете гопникам все, что у вас было, после чего они вас прогоняют с их района	game/script_day5.rpy	123	"[what]"
sissy_4fd4c6f2	gg	* П**ц, вот надо было нарваться. Ааааа, да что за день сегодня такой? *	game/script_day5.rpy	125	gg "[what]"
sissy_9560fa09		Вы отправляетесь в ближайшее заявление полиции, чтобы написать заявление о нападении	game/script_day5.rpy	129	"[what]"
sissy_e5289ebd	gg	*Задыхаясь* Здравствуйте, помогите пожалуйста! На меня напали, все забрали!	game/script_day5.rpy	134	gg "[what]"
sissy_3b32eeea	policman	Пишите заявление	game/script_day5.rpy	138	policman "[what]"
sissy_9b9d629b		Вы садитесь и пишите заявление в надежде, что вам помогут	game/script_day5.rpy	140	"[what]"
rejection_4cd8218b	gg	Что? На каком это основании?	game/script_day5.rpy	154	gg "[what]"
rejection_c581a574	noname	Ты че, смелый да? Тебе урок преподать?	game/script_day5.rpy	156	noname "[what]"
rejection_1ab33474	gg	Давайте так, с миром разойдемся и никто не пострадает, ок?	game/script_day5.rpy	160	gg "[what]"
rejection_e9fa7004	noname	Что?!! Не, ну ты напросился!	game/script_day5.rpy	162	noname "[what]"
rejection_a3e1f5fe	frend	Олежа, все в порядке? Мы уже тут	game/script_day5.rpy	167	frend "[what]"
rejection_90e206ff	gg	Охх, неужели	game/script_day5.rpy	169	gg "[what]"
rejection_7f8862b1		Бандиты, видя что к вам пришло подкрепление, решают отступить. Вы успеваете заметить, лишь их сверкающие пятки	game/script_day5.rpy	171	"[what]"
rejection_fd3e6100	gg	Фухх, а вы вовремя	game/script_day5.rpy	173	gg "[what]"
rejection_e07f37c2	frend	Ну не могли же мы тебя бросить в беде! Но так-то всю работу сделал ты, умеешь постоять за себя?	game/script_day5.rpy	175	frend "[what]"
rejection_7b808639	gg	Конечно, перцовка в помощь	game/script_day5.rpy	177	gg "[what]"
rejection_20f971e3	frend	Ну так что? Идем на мероприятия?	game/script_day5.rpy	179	frend "[what]"
rejection_f03a86a4	gg	Конечно, но сначала за чайком, нужно успокоиться после такого	game/script_day5.rpy	181	gg "[what]"
rejection_2b4cfd2e	group	Давайте пойдем лучше в караоке	game/script_day5.rpy	188	group "[what]"
rejection_7c4990a2	gg	Ну все, парни, я погнал, до завтра!	game/script_day5.rpy	201	gg "[what]"
rejection_23b4054f	group	Давай, смотри, не проспи	game/script_day5.rpy	203	group "[what]"
tests2_162f45eb	Prepod	Уважаемые студенты, сегодня мы пройдем с вами **ТЕМА**. Тема весьма интересная, поэтому советую вам внимательно слушать.	game/script_day6.rpy	15	Prepod "[what]"
tests2_cfaa393f	Prepod	Ах, да, чуть не забыл. В конце пары мы с вами, как обычно, напишем тест.	game/script_day6.rpy	17	Prepod "[what]"
tests2_907c4d76		Тест сюда	game/script_day6.rpy	19	"[what]"
tests2_1107d6a1		Вы заканчиваете написание теста за 2 минуты да конца пары, поэтому преподаватель разрешает вам уйти пораньше	game/script_day6.rpy	21	"[what]"
tests2_be8d8e00	gg	Ммм.. Что это?	game/script_day6.rpy	25	gg "[what]"
tests2_d852533d		Вы заходите в мессенджер и видите новое сообщение, в котором вас приглашают вступить в клуб активных студентов	game/script_day6.rpy	30	"[what]"
tests2_a33cb25f	club	Здравствуйте, Олег, хотели поинтересоваться, не хотите ли вы вступить в наш клуб активных студентов?	game/script_day6.rpy	32	club "[what]"
tests2_2a53156e	gg	* Клуб активных студентов... Хм... А точно ли мне это нужно? *	game/script_day6.rpy	35	gg "[what]" nointeract
club_f060fc09		Вы с радостью принимаете приглашение, не все же время учиться	game/script_day6.rpy	43	"[what]"
club_5f6bceea	club	Хорошо, Олег, мы рады, что вы присоединились к нам. Тогда ждем вас на первом собрании сегодня в 20:00	game/script_day6.rpy	45	club "[what]"
club_071fd1d6		Вы идете домой, чтобы собраться и выполняете бытовые дела, ожидая нужного времени	game/script_day6.rpy	50	"[what]"
club_40b26bd8		Вы смотрите на часы, время пришло, пора идти	game/script_day6.rpy	58	"[what]"
club_7b88a1aa		Вы приходите на место встречи, вас уже ждут	game/script_day6.rpy	63	"[what]"
club_50fb0cda	gg	Приветствую всех, я Олежа	game/script_day6.rpy	69	gg "[what]"
club_1a95c9c1	Member	О, привет, ты как раз вовремя	game/script_day6.rpy	71	Member "[what]"
club_d7eb16db	club	Итак, все в сборе, мы можем начинать собрание	game/script_day6.rpy	73	club "[what]"
club_57ad93dd	club	Для начала поприветствуем нового члена нашего клуба. Олежа, выходи, расскажи о себе	game/script_day6.rpy	75	club "[what]"
club_eef9de37	gg	Ну..., я студент первого курса ИРИТ-РТФ, направление прикладная информатика, увлекаюсь программированием, хочу устроиться по специализации	game/script_day6.rpy	77	gg "[what]"
club_63995fbf	club	Так, допустим. Хобби может есть какие-то, таланты?	game/script_day6.rpy	79	club "[what]"
club_c93e85c9	gg	Хобби как такового нет, но в школе занимался танцами	game/script_day6.rpy	81	gg "[what]"
club_681b1a30	club	О, это хорошо, будешь в активной группе тогда, если хорошо танцуешь	game/script_day6.rpy	83	club "[what]"
club_37bb451b	gg	Хорошо	game/script_day6.rpy	85	gg "[what]"
club_2e2559ad	club	Так, отлично, а теперь приступим к самому собранию. Скоро состоится дебют первокурсников, и мы, как активная группа, тоже примем там участие	game/script_day6.rpy	87	club "[what]"
club_ac6cfc73	gg	Все принимают участие?	game/script_day6.rpy	89	gg "[what]"
club_298990ab	club	Конечно, что за глупый вопрос?	game/script_day6.rpy	91	club "[what]"
club_61c00f8b	gg	Это я для уточнения, хорошо	game/script_day6.rpy	93	gg "[what]"
club_b155cd0c	club	Тогда что будем делать на дебют?	game/script_day6.rpy	95	club "[what]"
club_79f72425	Member	Может танец тогда поставим?	game/script_day6.rpy	97	Member "[what]"
club_1347c250	club	Хорошо, тогда сегодня и начнем репетировать. Все могут?	game/script_day6.rpy	99	club "[what]"
club_8c06360c	allies	Да	game/script_day6.rpy	101	allies "[what]"
club_c447a514	gg	Угу	game/script_day6.rpy	103	gg "[what]"
club_956d2b1d	club	Так, отлично	game/script_day6.rpy	113	club "[what]"
club_3c19100d		Вы смотрите на время, уже поздно	game/script_day6.rpy	115	"[what]"
club_fc141ffc	club	Ну все, можно теперь расходиться, спасибо что пришли	game/script_day6.rpy	117	club "[what]"
club_2df2b5d2		Вы прощаетесь со всеми, собираете вещи и идете домой, где крепко засыпаете до самого утра	game/script_day6.rpy	122	"[what]"
tea_a0bc15ca	gg	* Да ну его, там забот наверняка много, а мне это надо? Лучше на учебе сосредоточусь *	game/script_day6.rpy	127	gg "[what]"
tea_0a1d9267		Вы вежливо отказываетесь от предложения, даже не дослушав о плюсах клуба и бонусов внеучебной деятельности	game/script_day6.rpy	129	"[what]"
tea_5bed0e7a	gg	Ну, пора домой	game/script_day6.rpy	131	gg "[what]"
tea_6147101a		Вы приходите домой и, поставив мощный фонк, садитесь за учебу, а могли бы быть членом клуба	game/script_day6.rpy	136	"[what]"
fizra_872f7f56		Вы просыпаетесь в своей постели после очередного тяжелого учебного дня. Но к счастью, сегодня пятница, поэтому очень скоро вы сможете поспать подольше	game/script_day7.rpy	17	"[what]"
fizra_14d35b93	gg	Так-так, пятница значит. Ну и отлично, завтра смогу отдохнуть	game/script_day7.rpy	19	gg "[what]"
fizra_9c0467cc		Вы умываетесь, завтракаете и собираетесь на пары	game/script_day7.rpy	21	"[what]"
fizra_22118eca	gg	Какие у меня сегодня занятия? Посмотрим	game/script_day7.rpy	23	gg "[what]"
fizra_83698c27		1 пара (8:30 – 10:00) ФИЗКУЛЬТУРА \n 2 пара (10:15 – 11:45) ПРОГРАММИРОВАНИЕ НА C#	game/script_day7.rpy	28	"[what]"
Studing1_07e120f8	Prepod	Уважаемые студенты, сегодня мы пройдем с вами **ТЕМА**, просьба не отвлекаться, так как тема очень важна для последующих занятий. В конце занятия вы пройдете небольшой тест.	game/syp.rpy	16	Prepod "[what]"
Studing1_26f13fea		Вставьте тест сюда	game/syp.rpy	18	"[what]"
Studing1_48a0d0cf	gg	хммммммм. Поговаривают что сегодня вечером будет мероприятие	game/syp.rpy	20	gg "[what]"
Studing1_09fe84be	gg	Может сходить?	game/syp.rpy	22	gg "[what]"
SvoiaIgra_12c23491	gg	Хм... А сегодня тут очень даже шумно. Наконец-то я дождался мероприятий. Интересно, что меня ожидает сегодня?	game/syp.rpy	40	gg "[what]"
SvoiaIgra_5f34febb	gg	Блин, да где они? Обещали прийти	game/syp.rpy	44	gg "[what]"
SvoiaIgra_14ed3889		Твоя команда называеться [PlayerteamName]	game/syp.rpy	57	"[what]"
SvoiaIgra_4723452d	leader	Приветсвую всех пришёдших, мы начинам наше мероприятие под названием СУП или Самый Умный Первокурсник	game/syp.rpy	59	leader "[what]"
SvoiaIgra_df46bb71	leader	И вот правила нашей игры	game/syp.rpy	61	leader "[what]"
SvoiaIgra_42fece10	leader	Игрок, тебе будут даны 4 категории в по 5 вопросов разного номинала	game/syp.rpy	63	leader "[what]"
SvoiaIgra_28f5cfc1	leader	чтобы выбрать категорию нажни на её название, также с вопросом	game/syp.rpy	65	leader "[what]"
SvoiaIgra_d9cd34a6	leader	Дальше его озвучат и тебе будет дано 4 варианта ответа, один из правильный	game/syp.rpy	67	leader "[what]"
SvoiaIgra_fdc13e5f	leader	Помимо тебя есть ещё 3 команды(бота), которые выбираю вопросчы и ответы на ниш случайно	game/syp.rpy	69	leader "[what]"
SvoiaIgra_5ad206c1	leader	Победит та команда у которой будет больше всего очков	game/syp.rpy	71	leader "[what]"
Round1_6950c410	leader	На этом мы закончим первый раунд	game/syp.rpy	165	leader "[what]"
Round1_452eb3c4	leader	И начинием второй раунд	game/syp.rpy	167	leader "[what]"
Round1_ff4f5902	leader	Текущий счёт команд: Прилагательные [Team2Points], Стрелки [Team1Points], Бикини Боттом [Team3Points], [PlayerteamName] [OurTeamPoints]	game/syp.rpy	169	leader "[what]"
Round1Cat1_a9b2afef	gg	География	game/syp.rpy	268	gg "[what]"
Round1Cat1_827b1b92	team1	География	game/syp.rpy	286	team1 "[what]"
Round1Cat1_7d102a53	team1	Вопрос за 100	game/syp.rpy	289	team1 "[what]"
Round1Cat1_e8667ad6	team1	Вопрос за 200	game/syp.rpy	293	team1 "[what]"
Round1Cat1_39b08480	team1	Вопрос за 300	game/syp.rpy	297	team1 "[what]"
Round1Cat1_dfeaa346	team1	Вопрос за 400	game/syp.rpy	301	team1 "[what]"
Round1Cat1_9f5eba14	team1	Вопрос за 500	game/syp.rpy	305	team1 "[what]"
Round1Cat1_50939d3e		Этого вопроса нет	game/syp.rpy	308	"[what]"
Round1Cat1_48d1a0fb	team2	Категория 1	game/syp.rpy	312	team2 "[what]"
Round1Cat1_30989ade	team2	Вопрос за 100	game/syp.rpy	315	team2 "[what]"
Round1Cat1_41efe3fd	team2	Вопрос за 200	game/syp.rpy	319	team2 "[what]"
Round1Cat1_6ba4aac8	team2	Вопрос за 300	game/syp.rpy	323	team2 "[what]"
Round1Cat1_a252cc3e	team2	Вопрос за 400	game/syp.rpy	327	team2 "[what]"
Round1Cat1_4ddb19b7	team2	Вопрос за 500	game/syp.rpy	331	team2 "[what]"
Round1Cat1_50939d3e_1		Этого вопроса нет	game/syp.rpy	334	"[what]"
Round1Cat1_457d4194	team3	География	game/syp.rpy	338	team3 "[what]"
Round1Cat1_97d0018a	team3	Вопрос за 100	game/syp.rpy	341	team3 "[what]"
Round1Cat1_5c7823aa	team3	Вопрос за 200	game/syp.rpy	345	team3 "[what]"
Round1Cat1_126d9007	team3	Вопрос за 300	game/syp.rpy	349	team3 "[what]"
Round1Cat1_ccdd5b84	team3	Вопрос за 400	game/syp.rpy	353	team3 "[what]"
Round1Cat1_58e0b263	team3	Вопрос за 500	game/syp.rpy	357	team3 "[what]"
Round1Cat1_50939d3e_2		Этого вопроса нет	game/syp.rpy	360	"[what]"
R1Cat1Quest1_8f2feae2	leader	Вопрос за 100	game/syp.rpy	371	leader "[what]"
R1Cat1Quest1_1fc9f27e		Именно он возглавлял экспедицию, совершившую первое плавание вокруг света.	game/syp.rpy	372	"[what]"
R1Cat1Quest1_15c8a56f		верно	game/syp.rpy	376	"[what]"
R1Cat1Quest1_ece83569		неверно	game/syp.rpy	384	"[what]"
R1Cat1Quest1_973177eb		ответ	game/syp.rpy	385	"[what]"
R1Cat1Quest1_ece83569_1		неверно	game/syp.rpy	393	"[what]"
R1Cat1Quest1_973177eb_1		ответ	game/syp.rpy	394	"[what]"
R1Cat1Quest1_ece83569_2		неверно	game/syp.rpy	402	"[what]"
R1Cat1Quest1_973177eb_2		ответ	game/syp.rpy	403	"[what]"
R1Cat1Quest1_10b892f6		Ф. Магеллан	game/syp.rpy	414	"[what]"
R1Cat1Quest1_15c8a56f_1		верно	game/syp.rpy	415	"[what]"
R1Cat1Quest1_b689bb3b		Черчиль	game/syp.rpy	422	"[what]"
R1Cat1Quest1_ece83569_3		неверно	game/syp.rpy	423	"[what]"
R1Cat1Quest1_10b892f6_1		Ф. Магеллан	game/syp.rpy	424	"[what]"
R1Cat1Quest1_0aac9b69		Бенитто Муссолини	game/syp.rpy	431	"[what]"
R1Cat1Quest1_ece83569_4		неверно	game/syp.rpy	432	"[what]"
R1Cat1Quest1_10b892f6_2		Ф. Магеллан	game/syp.rpy	433	"[what]"
R1Cat1Quest1_b628c2d1		Абрам Евгениевич	game/syp.rpy	440	"[what]"
R1Cat1Quest1_ece83569_5		неверно	game/syp.rpy	441	"[what]"
R1Cat1Quest1_10b892f6_3		Ф. Магеллан	game/syp.rpy	442	"[what]"
R1Cat1Quest1_10b892f6_4		Ф. Магеллан	game/syp.rpy	452	"[what]"
R1Cat1Quest1_15c8a56f_2		верно	game/syp.rpy	453	"[what]"
R1Cat1Quest1_b689bb3b_1		Черчиль	game/syp.rpy	460	"[what]"
R1Cat1Quest1_ece83569_6		неверно	game/syp.rpy	461	"[what]"
R1Cat1Quest1_10b892f6_5		Ф. Магеллан	game/syp.rpy	462	"[what]"
R1Cat1Quest1_0aac9b69_1		Бенитто Муссолини	game/syp.rpy	469	"[what]"
R1Cat1Quest1_ece83569_7		неверно	game/syp.rpy	470	"[what]"
R1Cat1Quest1_10b892f6_6		Ф. Магеллан	game/syp.rpy	471	"[what]"
R1Cat1Quest1_b628c2d1_1		Абрам Евгениевич	game/syp.rpy	478	"[what]"
R1Cat1Quest1_ece83569_8		неверно	game/syp.rpy	479	"[what]"
